Block;Sequence;timeOn;timeOff;endBlockPause;endBlockMessage;endBlockManualContinuation;startBlockPause;startBlockPrimer;showSingleKeys
297;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
306;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
469;2-4-1-3-4-2-3-1;-1;0;0;nachricht1;0;2;green;0
934;3-4-2-1-3-2-4-1;-1;0;0;nachricht2;0;2;blue;0
406;3-4-2-1-3-2-4-1;-1;0;0;nachricht2;0;2;blue;0
368;1-3-4-2-4-1-3-2;-1;0;0;nachricht1;0;2;green;0
24;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
116;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
492;2-4-1-3-4-2-3-1;-1;0;0;nachricht1;0;2;green;0
694;1-3-4-2-4-1-3-2;-1;0;0;nachricht1;0;2;green;0
628;3-4-2-1-3-2-4-1;-1;0;0;nachricht2;0;2;blue;0
753;2-1-4-1-3-2-4-3;-1;0;0;nachricht1;0;2;green;0
197;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
283;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
230;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
568;3-4-2-1-3-2-4-1;-1;0;0;nachricht2;0;2;blue;0
869;3-4-2-1-3-2-4-1;-1;0;0;nachricht2;0;2;blue;0
122;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
114;4-3-1-4-3-1-4-2;-1;0;0;nachricht2;0;2;green;0
802;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
790;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
186;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
666;1-2-4-1-3-4-2-3;-1;0;0;nachricht1;0;2;green;0
250;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
921;3-4-2-1-3-2-4-1;-1;0;0;nachricht2;0;2;blue;0
138;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
968;2-1-3-4-2-4-1-2;-1;0;0;nachricht2;0;2;green;0
796;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
34;2-1-3-4-2-4-1-2;-1;0;0;nachricht2;0;2;green;0
873;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
998;3-4-2-1-3-2-4-1;-1;0;0;nachricht2;0;2;blue;0
943;3-4-2-1-3-2-4-1;-1;0;0;nachricht2;0;2;blue;0
6;3-4-2-1-3-2-4-1;-1;0;0;nachricht2;0;2;blue;0
452;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
557;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
399;3-4-2-1-3-2-4-1;-1;0;0;nachricht2;0;2;blue;0
515;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
579;3-4-2-1-3-2-4-1;-1;0;0;nachricht2;0;2;blue;0
516;4-1-3-2-4-3-1-2;-1;0;0;nachricht2;0;2;green;0
241;4-3-1-4-3-1-4-2;-1;0;0;nachricht2;0;2;green;0
926;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
222;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
215;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
224;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
498;3-4-2-1-3-2-4-1;-1;0;0;nachricht2;0;2;blue;0
257;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
993;2-1-4-1-3-2-4-3;-1;0;0;nachricht1;0;2;green;0
544;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
316;3-4-2-1-3-2-4-1;-1;0;0;nachricht2;0;2;blue;0
758;3-4-2-1-3-2-4-1;-1;0;0;nachricht2;0;2;blue;0
960;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
52;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
976;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
607;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
510;3-4-2-1-3-2-4-1;-1;0;0;nachricht2;0;2;blue;0
439;3-4-2-1-3-2-4-1;-1;0;0;nachricht2;0;2;blue;0
379;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
738;3-4-2-1-3-2-4-1;-1;0;0;nachricht2;0;2;blue;0
49;3-4-2-1-3-2-4-1;-1;0;0;nachricht2;0;2;blue;0
259;2-3-1-4-3-1-2-4;-1;0;0;nachricht2;0;2;green;0
799;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
151;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
194;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
469;4-1-3-2-4-3-1-2;-1;0;0;nachricht2;0;2;green;0
273;2-3-1-4-3-1-2-4;-1;0;0;nachricht2;0;2;green;0
191;4-1-3-2-4-3-1-2;-1;0;0;nachricht2;0;2;green;0
590;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
896;3-4-2-1-3-2-4-1;-1;0;0;nachricht2;0;2;blue;0
820;3-4-2-1-3-2-4-1;-1;0;0;nachricht2;0;2;blue;0
575;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
985;2-1-4-1-3-2-4-3;-1;0;0;nachricht1;0;2;green;0
147;1-3-4-2-4-1-3-2;-1;0;0;nachricht1;0;2;green;0
4;2-1-4-1-3-2-4-3;-1;0;0;nachricht1;0;2;green;0
467;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
881;2-4-1-3-4-2-3-1;-1;0;0;nachricht1;0;2;green;0
365;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
232;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
92;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
823;3-4-2-1-3-2-4-1;-1;0;0;nachricht2;0;2;blue;0
955;2-4-1-3-4-2-3-1;-1;0;0;nachricht1;0;2;green;0
47;4-3-1-4-3-1-4-2;-1;0;0;nachricht2;0;2;green;0
536;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
604;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
880;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
407;4-3-1-4-3-1-4-2;-1;0;0;nachricht2;0;2;green;0
460;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
921;3-4-2-1-3-2-4-1;-1;0;0;nachricht2;0;2;blue;0
254;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
784;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
877;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
86;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
99;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
584;1-3-4-2-4-1-3-2;-1;0;0;nachricht1;0;2;green;0
746;3-4-2-1-3-2-4-1;-1;0;0;nachricht2;0;2;blue;0
666;3-4-2-1-3-2-4-1;-1;0;0;nachricht2;0;2;blue;0
635;1-2-4-1-3-4-2-3;-1;0;0;nachricht1;0;2;green;0
752;3-4-2-1-3-2-4-1;-1;0;0;nachricht2;0;2;blue;0
346;3-4-2-1-3-2-4-1;-1;0;0;nachricht2;0;2;blue;0
841;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
105;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
65;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
866;3-4-2-1-3-2-4-1;-1;0;0;nachricht2;0;2;blue;0
285;3-4-2-1-3-2-4-1;-1;0;0;nachricht2;0;2;blue;0
631;2-3-1-4-3-1-2-4;-1;0;0;nachricht2;0;2;green;0
590;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
775;2-1-4-1-3-2-4-3;-1;0;0;nachricht1;0;2;green;0
615;3-4-2-1-3-2-4-1;-1;0;0;nachricht2;0;2;blue;0
184;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
682;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
583;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
511;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
146;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
415;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
89;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
179;3-4-2-1-3-2-4-1;-1;0;0;nachricht2;0;2;blue;0
678;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
749;3-4-2-1-3-2-4-1;-1;0;0;nachricht2;0;2;blue;0
961;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
264;4-3-1-4-3-1-4-2;-1;0;0;nachricht2;0;2;green;0
769;3-4-2-1-3-2-4-1;-1;0;0;nachricht2;0;2;blue;0
349;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
422;2-1-3-4-2-4-1-2;-1;0;0;nachricht2;0;2;green;0
571;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
570;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
210;1-2-4-1-3-4-2-3;-1;0;0;nachricht1;0;2;green;0
373;3-4-2-1-3-2-4-1;-1;0;0;nachricht2;0;2;blue;0
629;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
660;2-4-1-3-4-2-3-1;-1;0;0;nachricht1;0;2;green;0
206;3-4-2-1-3-2-4-1;-1;0;0;nachricht2;0;2;blue;0
91;3-4-2-1-3-2-4-1;-1;0;0;nachricht2;0;2;blue;0
605;1-2-4-1-3-4-2-3;-1;0;0;nachricht1;0;2;green;0
641;3-4-2-1-3-2-4-1;-1;0;0;nachricht2;0;2;blue;0
216;4-1-3-2-4-3-1-2;-1;0;0;nachricht2;0;2;green;0
521;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
820;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
497;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
468;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
63;2-1-3-4-2-4-1-2;-1;0;0;nachricht2;0;2;green;0
744;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
429;2-1-3-4-2-4-1-2;-1;0;0;nachricht2;0;2;green;0
475;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
855;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
126;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
885;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
724;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
717;3-4-2-1-3-2-4-1;-1;0;0;nachricht2;0;2;blue;0
899;3-4-2-1-3-2-4-1;-1;0;0;nachricht2;0;2;blue;0
775;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
300;3-4-2-1-3-2-4-1;-1;0;0;nachricht2;0;2;blue;0
208;3-4-2-1-3-2-4-1;-1;0;0;nachricht2;0;2;blue;0
95;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
766;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
736;4-1-3-2-4-3-1-2;-1;0;0;nachricht2;0;2;green;0
796;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
763;1-2-4-1-3-4-2-3;-1;0;0;nachricht1;0;2;green;0
905;2-3-1-4-3-1-2-4;-1;0;0;nachricht2;0;2;green;0
426;3-4-2-1-3-2-4-1;-1;0;0;nachricht2;0;2;blue;0
236;1-3-4-2-4-1-3-2;-1;0;0;nachricht1;0;2;green;0
991;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
973;2-3-1-4-3-1-2-4;-1;0;0;nachricht1;0;2;red;0
231;2-3-1-4-3-1-2-4;-1;0;0;nachricht2;0;2;green;0
